,char,count
0,h,5509
1,i,19671
2,l,5285
3,o,6723
4,k,9921
5,a,36430
6,t,5011
7,w,6410
8,<SPACE>,19876
9,n,11487
10,j,2986
11,d,3136
12,r,2103
13,S,249
14,v,963
15,K,472
16,c,1048
17,m,8039
18,u,11387
19,f,1576
20,s,4713
21,g,2358
22,e,8166
23,y,3851
24,b,2908
25,J,329
26,M,847
27,V,46
28,z,3138
29,D,74
30,H,159
31,p,1694
32,W,276
33,T,213
34,A,490
35,N,290
36,P,87
37,I,85
38,“,1
39,!,21
40,”,1
41,Y,62
42,U,176
43,B,133
44,R,51
45,F,35
46,O,26
47,Z,61
48,E,64
49,L,71
50,C,36
51,G,15
52,.,38
53,-,6
54,’,6
55,‘,4
56,q,1
57,?,3
