id,sound,text
00AUezIZGu7x3C1SaIgJ,502bcb3c-d2f8-493f-929c-6928f8554d59.aac,hilo
00BDU6nJK1PNjAInoaon,8112c994-1810-4a04-ae78-62974bcee082.aac,kati
00E5cDFUpKTYFM4hAQzd,377d5c20-17ef-4534-8fa2-af9c9b18a630.wav,wali na jodari
00KEMdZxRUekU6U2B0xt,ab3236c8-eebe-4086-8964-06f38af38b3c.wav,Saivi
00eGG97rFTfplqGzPAtL,eece8aea-0313-45b7-82e4-7184b4c39776.aac,Kikao hicho
00jlzNvVdgtvR35PrHyu,9de01611-9c9f-412e-bc94-a8173f448ad8.aac,katika kila mkoa
00r9AemAM98hcPhDiMij,402cb5b5-3640-4a34-8289-8cc1fd101fa6.aac,hufanana kwa kiasi
00ymLqz79kpMOhaUIwnR,ce8d0ba5-6d58-4c62-bb98-ac07f07939d9.wav,tulioingoja imefika na
016dObE89VjMZNx6XR46,03ed67e4-f9df-42c6-b063-988cec76a5ff.aac,ya
01GNB4OpBgjHcQbQe5Oi,4f45d910-776a-495e-ba81-90ea0540e2a6.wav,abtali
01OvM2FRu5IuQXrLTfvS,3f57a02f-935d-4630-b26e-78c5cdfdafd8.wav,Jogoo ananyama ngumu
01PW0ojA03mEebsoEUgj,dc9607a7-e826-4158-92ca-3559f9bb599a.aac,ilijenga soko
01Qvutw7Ri13YMA1pPHp,13f3e9ba-9bac-425e-9a48-24e0e23a4a7a.wav,juu sana
01UIqiN6o7NldmEGZy4c,3e5b166d-7c8b-4237-a2cb-fd2f8e2c71a1.aac,makatibu wakuu na
01vvLECSCSbvlp5QguLG,587e02c1-3fa8-4f67-b6f9-60f26f98e6ac.wav,jifanye kama unalia
023XPUHcRmdlRM2NgRRO,1c16d014-534e-4c81-bd10-9d8b059d0cbe.wav,Mlima
028RnLfu2t6O5004OBi1,86bc408c-5ecb-48e8-ad31-3e1a9738073b.wav,Vijana hawa wamejihusisha katika
02BEKZq9HGkqyxTX6tuz,63858228-b029-4449-a7a5-abcbd8e65cc5.wav,mwanafunzi
02DWfHr98kZbinmYiWeY,4fbf53f1-d364-40c0-bfe8-af93802ab9e9.wav,ameingia darasani muda
02KUrUQyI5KZhRyyYckc,c1b86b2f-946d-4b1d-84b3-b42a5aa334f6.wav,Daktari kanishauri nikasafishe jino
02OErBE243KF59LBdbg1,4c0a5234-8518-4b53-b56b-0cc2e51c2437.aac,ya
02Q6kJ6tBEBdtG3HQ3iu,18428972-4699-44e0-8f45-78042ff729a8.wav,imefika na ni
02QFeVyr83CgRFhCA1Cj,1d58cad3-aee5-4043-8d49-100335b531c2.wav,Dah
02azPaPkHG1svjLnKY1w,69252be4-3096-4573-ac98-8c6b7f892f3d.wav,wa mitaani kwetu wameanda jubilii
02eH2zqGwQ95okSY8S5G,48933cd9-1070-4fa5-bafc-dcbf797511b3.wav,Hebu jifanye
02gDrdNFesaoZjJuvGu4,e364749d-69d4-403e-96d2-a21820c4f714.aac,Jiji la Mbeya
02uUI7hT2cFhz9e0ucWb,a8285eae-111e-445d-a8fd-06b2ca923d2b.aac,uchafu mwingine wanapopeleka vituoni kwa
02v9vYGqYrYXTArjdvPU,593f6bd7-64b8-4efc-bd65-39b0ebeb8e54.aac,Wengine ni mshtakiwa
02yhkoUWMAUnvX4eyuk9,c35cf211-2d2a-44ce-b217-017ef3783cc8.wav,Tunataka
034W3WIDFR6Xqy8P76BM,678f875d-c344-46c8-9d8c-232c49c00f90.wav,wakati
039qxEiCIbxnZlqvMsa4,afba390c-fe46-4fe1-9e7b-c5e9b9063221.aac,yalibainishwa
03B3sFRqqBqVpFnY9Z95,b78caa60-26a1-477e-a1ba-f8f373a1a1e0.wav,cha kwanza A
03EIYYwFebcqbvQrGz7Z,9f719c91-285e-454b-9359-28d6eb8c5f68.wav,Juhudi ni mfano
03EYGjSneVMZmDKfCDez,f6f1f31e-a98c-40c4-81ba-57750550bdb8.wav,Anajizalia kama mbuzi
03EvybiSy5puoZr8bg3Y,a220d96e-1f43-4e9e-a0b7-b4a1e1743583.wav,Nimevunja jino wakati nafungua
03MAVIjtUi6TaS7htxFV,2315a166-a9ff-4642-a625-837a95d73164.wav,Jumba hili ni
03OT0jkzhOgd5FNe8sT1,378646bc-3d78-4a0d-acb5-5f8c83cc9d6a.wav,Walibadili
03OY7qjbhCm3bCQR4EQ4,d7a7d49a-6b70-4960-8857-ea6117112f27.wav,Pale dukani kwa
03VRJ8N5NpX8qtQcS8Xb,64ce2b72-0945-444c-8295-b7defc5181e4.aac,Taska Mbogo ambaye alitaka kujua
03WKnPGh8Xlzwvqr8ML3,8e845539-2094-495a-a73b-eba5f1957c71.aac,na
03dzvs5FSSpqc7IczuOp,04ad2323-f514-4f59-a97a-d982bbeeb323.wav,Mti
03g1oUfrbq6WByru2QH6,1a0c852b-f219-42a1-bc45-63991552e608.wav,Ile siku
03mIYCKvt2H8MZtONMvH,877370a4-5816-4e8e-b3cc-115e512c04b6.wav,Amejenga jiko lake
03ozQ37HvOxH4JjoXjDi,e7f4b623-66b6-4638-a3f8-a167e4cd184e.wav,unguza nguo na hilo jinga la moto Ni
03rM8SllVq5htw1JL8Ur,a4d3ee6b-18c0-4d65-be52-f1be4cc38253.wav,kujihusisha na mambo
045keXBzxefggoBnSHwy,6abb233f-58e9-442e-847a-67e5645c9230.wav,jino
048ciHcRFOTcmhZOocXK,14086ec5-a0bf-460e-8f1b-fb57d165b1ee.wav,zamani
04EjGoa74BpzgckQgwXz,86d1e850-7d3b-47d2-bbbc-5860416db209.wav,makini tusijechanganya jina
04G8JmpcbzxFge08RrV1,aa00835f-6d55-44b4-80a7-1005ded763bc.wav,anauza viatu bei
04H72jDdjGklRGa7wSZQ,f1ecb750-cc73-480b-a1e0-8f510bf240cd.wav,tunapenda kula jodari
